name,year,selling_price,km_driven
Honda Civic 1.8 V AT,2007,200000,54000
Hyundai i10 Sportz 1.2,2010,248000,63000
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000
Hyundai Getz GLS,2005,80000,120000
Nissan Terrano XL,2014,650000,76000
Hyundai Grand i10 CRDi Sportz,2015,450000,80000
Hyundai Elite i20 Diesel Era,2019,650000,25000
Honda Amaze S i-VTEC,2016,495000,11958
Honda Brio S MT,2015,371000,20000
Hyundai Creta 1.6 SX Option,2017,1025000,9000
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500
Mahindra XUV500 W8 2WD,2015,750000,70000
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000
Hyundai Santro Xing XO,2007,80000,58000
Mahindra Bolero 2011-2019 SLE,2013,325000,62200
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000
Fiat Avventura MULTIJET Emotion,2015,350000,53000
Audi A8 4.2 TDI,2013,2800000,49000
Datsun RediGO 1.0 S,2017,210000,15000
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000
Honda Civic 1.8 V AT,2009,210000,63500
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800
BMW X1 sDrive 20d xLine,2017,2750000,13000
Volvo V40 D3 R Design,2018,1975000,21000
Maruti SX4 Zxi BSIII,2008,175000,29173
BMW 7 Series 730Ld,2012,2500000,48000
Mahindra Bolero Power Plus SLX,2017,628000,120000
Hyundai Sonata CRDi M/T,2010,600000,100000
Nissan Micra Active XV Petrol,2017,399000,30000
Mahindra Xylo D4,2018,750000,87000
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000
Renault KWID RXT,2017,315000,16000
Mahindra Xylo E4 BS III,2012,600000,60000
Maruti Wagon R LXI Minor,2010,100000,60000
Maruti SX4 ZXI MT BSIV,2011,250000,110000
Renault KWID RXT,2017,350000,25000
Hyundai Creta 1.4 CRDi S,2016,780000,60000
Maruti Swift Dzire VDI,2014,434000,79350
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000
Mahindra Scorpio LX BSIV,2014,555000,90000
Maruti SX4 Vxi BSIII,2007,120000,90000
Maruti Ertiga VDI,2014,500000,120000
Chevrolet Beat Diesel,2013,165000,60000
Maruti Zen LX,2004,95000,50000
Maruti Baleno Delta 1.2,2018,550000,20000
Maruti Swift Vdi BSIII,2007,100000,110000
Tata Nano Lx BSIV,2012,100000,50000
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000
Maruti Ertiga SHVS VDI,2016,800000,70000
Hyundai Creta 1.6 CRDi SX,2016,840000,70000
Honda Amaze S i-Vtech,2016,490000,50000
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000
Chevrolet Cruze LTZ,2015,1000000,3600
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213
Hyundai i10 Sportz 1.1L,2015,229999,40000
Maruti 800 Std,1998,40000,40000
Chevrolet Spark 1.0 LS,2012,130000,80000
Hyundai EON Era Plus,2015,200000,70000
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000
Hyundai Santro LP zipPlus,2003,75000,57000
Tata Bolt Quadrajet XE,2016,250000,120000
Maruti 800 AC BSIII,2005,100000,30000
Hyundai EON Era Plus,2013,280000,3240
Hyundai i20 Magna 1.2,2015,540000,5000
Hyundai i20 1.2 Asta,2018,700000,10000
Maruti Ciaz VDi Plus,2015,525000,100000
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000
Hyundai Santro LE,2002,65000,70000
Maruti Vitara Brezza VDi,2018,800000,35000
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000
Hyundai Getz 1.3 GLS,2008,210000,53772
Mahindra Quanto C8,2012,195000,140000
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000
Hyundai EON Magna Plus,2012,170000,60000
Renault KWID RXT,2016,225000,25000
Maruti Wagon R DUO LPG,2014,210000,90000
Maruti Wagon R LXI,2020,240000,120000
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000
Chevrolet Spark 1.0 LS,2011,99000,100000
Honda City i VTEC SV,2014,620000,36000
Honda Amaze VX i-DTEC,2013,500000,30000
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000
Honda Brio E MT,2013,260000,70000
Maruti Swift VVT ZXI,2017,550000,60000
Tata Indigo CR4,2011,150000,155500
Hyundai i10 Asta AT,2011,350000,50000
Chevrolet Beat LT,2016,320000,40000
Maruti Swift VDI BSIV,2015,400000,100000
Maruti Alto LXi,2012,175000,80000
Chevrolet Beat LT,2011,120000,90000
Renault Duster 110PS Diesel RxZ,2013,320000,90000
Hyundai Santro Xing XG,2006,70000,110000
Maruti Swift Dzire ZXI Plus,2019,810000,15000
Maruti 800 AC,2007,95000,100000
Maruti Alto K10 LXI CNG,2020,282000,40000
Maruti 800 Std BSII,2004,80000,60000
Tata Nano LX SE,2013,72000,25000
Hyundai i20 Magna 1.2,2016,600000,25000
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000
Maruti Alto K10 VXI,2018,380000,22155
Maruti Ciaz 1.4 Delta,2018,650000,70000
Maruti Alto LX,2009,150000,60000
Hyundai i20 Asta,2009,280000,110000
Tata Nexon 1.2 Revotron XM,2018,430000,30000
Mahindra Bolero Power Plus SLX,2019,800000,15000
Maruti Zen D,2003,75000,100000
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000
Honda City 1.5 EXI,2005,100000,120000
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380
Renault Duster 110PS Diesel RxZ,2012,434999,110000
Ford Figo Diesel Titanium,2010,170000,90000
Ford Figo Diesel Titanium,2011,190000,90000
Maruti Swift Dzire VDi,2009,250000,150000
Mahindra Xylo E4,2009,229999,230000
Maruti Esteem Vxi - BSIII,2006,140000,70000
Maruti Swift VDI BSIV,2017,600000,80362
Hyundai i20 1.2 Sportz,2012,280000,110000
Chevrolet Beat Diesel LT,2012,150000,60000
Chevrolet Cruze LTZ AT,2015,650000,50000
Nissan Micra XL,2014,210000,40000
BMW 5 Series 520d Luxury Line,2017,2900000,40000
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000
Hyundai EON Era Plus Option,2014,265000,55000
Fiat Linea T Jet Emotion,2018,890000,1136
Renault Scala RxL,2013,365000,55000
Ford Figo Petrol Titanium,2014,350000,43000
Maruti Ciaz ZDi SHVS,2016,685000,60000
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650
Mahindra XUV500 W6 2WD,2017,1000000,40000
Mahindra XUV300 W8 Option,2019,1150000,15000
Maruti Ertiga SHVS ZDI,2016,450000,115962
Nissan Terrano XE D,2015,590000,65000
Maruti S-Cross Facelift,2017,800000,40000
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000
Hyundai EON Era Plus,2012,235000,54000
Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000
Maruti Alto LX,2006,52000,120000
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000
Maruti Alto LX,2012,140000,70000
Hyundai Verna i (Petrol),2008,120000,90000
Mahindra Renault Logan 1.5 DLS,2008,89999,213000
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000
Mahindra Scorpio S11 BSIV,2017,1500000,20000
Hyundai i20 Active 1.2 SX,2017,700000,10000
Maruti SX4 Celebration Diesel,2012,285000,80000
Hyundai Grand i10 Magna,2015,390000,90000
Maruti Alto LXi BSIII,2008,125000,80000
Maruti SX4 Zxi with Leather BSIII,2008,225000,60000
Hyundai i10 Era,2011,175000,139000
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000
Honda Mobilio V i DTEC,2014,300000,150000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000
Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000
Tata Indica Vista TDI LS,2011,120000,120000
Chevrolet Beat Diesel LS,2012,220000,100000
Tata Zest Quadrajet 1.3 75PS XE,2015,300000,140000
Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000
Maruti 800 Std,2013,170000,70000
Ford Figo Petrol Titanium,2015,300000,50000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,70000
Honda Mobilio V i DTEC,2014,300000,150000
Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000
Chevrolet Beat Diesel LT,2011,130000,80000
Datsun GO Plus T Option Petrol,2018,434999,10000
Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000
Maruti Omni MPI STD BSIV,2018,200000,10000
Maruti Baleno Alpha 1.2,2017,625000,52000
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240
Hyundai Grand i10 CRDi Magna,2017,490000,66000
Maruti Ertiga SHVS ZDI,2017,880000,64000
Hyundai Santro Xing GL Plus,2013,290000,49000
Tata Sumo GX TC 7 Str BSIII,2006,115999,100000
Renault KWID RXT,2018,360000,26500
Maruti 800 AC,2002,65000,100000
Maruti Vitara Brezza LDi Option,2017,685000,72000
Honda Jazz S,2009,300000,50000
Hyundai i20 1.4 Sportz,2017,680000,44000
Maruti Ertiga SHVS ZDI Plus,2017,1000000,60000
Tata Sumo SE Plus BSIII,2002,100000,120000
Mahindra Xylo E4,2010,160000,130000
Maruti Swift ZDi BSIV,2017,450000,70000
Maruti Ertiga VXI,2014,600000,20000
Hyundai i20 1.4 Magna ABS,2009,180000,60000
Maruti Alto LXi,2007,100000,195000
Maruti Alto LXi,2010,120000,90000
Hyundai Getz GL,2006,130000,80000
Maruti Wagon R LX BS IV,2011,160000,155000
Mahindra Bolero Power Plus SLX,2019,860000,35000
Hyundai i20 1.2 Spotz,2018,650000,20000
Maruti Wagon R LXI Minor,2010,100000,80000
Maruti Alto 800 VXI,2017,282000,20000
Hyundai i20 Asta (o),2009,300000,50000
Hyundai i20 Asta,2010,270000,110000
Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000
Mahindra Xylo D2 BSIV,2013,450000,120000
Mahindra Bolero SLX 2WD BSIII,2011,430000,70000
Maruti Ertiga VXI ABS,2013,350000,40000
Honda Brio 1.2 E MT,2017,350000,20000
Toyota Etios Liva G,2013,229999,50000
Maruti Alto 800 LXI,2013,110000,50000
Maruti Swift Dzire 1.2 Vxi BSIV,2012,395000,49000
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000
Mahindra Bolero SLX,2011,350000,90000
Mahindra XUV500 W11 Option AWD,2020,1400000,25000
Tata Tiago 1.2 Revotron XZ,2018,360000,4000
Mahindra Marazzo M8 8Str,2018,1300000,10000
Renault Duster 110PS Diesel RxL,2015,800000,15000
Hyundai EON Magna Plus,2018,229999,30000
Maruti Wagon R VXI,2014,315000,41000
Chevrolet Spark 1.0 LT,2012,125000,28000
Maruti Baleno Alpha,2019,700000,16000
Hyundai EON 1.0 Kappa Magna Plus,2015,160000,70000
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,530000,10832
Ford Figo Aspire Facelift,2018,624000,14681
Hyundai i10 Era,2009,250000,50000
Mahindra Bolero SLX,2016,585000,51000
Hyundai Verna 1.4 VTVT,2015,500000,25000
Chevrolet Sail 1.2 LT ABS,2014,350000,30000
Honda City i-DTEC SV,2014,495000,80000
Hyundai Grand i10 1.2 Kappa Asta,2017,500000,50000
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,430000,200000
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000,44000
Maruti Baleno Sigma 1.2,2015,500000,10000
Tata Tiago 1.2 Revotron XZ,2019,425000,19600
Maruti Wagon R LXI,2005,80000,40000
Chevrolet Beat Diesel LS,2011,106000,50000
Maruti A-Star Vxi,2009,180000,46730
Datsun GO A,2015,250000,40000
Skoda Yeti Ambition 4WD,2011,350000,80000
Maruti Zen LXi BSII,2002,60000,80000
Hyundai Verna CRDi 1.6 EX,2018,900000,24000
Ford Aspire Titanium Diesel BSIV,2017,700000,21170
BMW 3 Series 320d Sport,2013,2000000,167223
Maruti Ertiga SHVS ZDI Plus,2017,1000000,40000
BMW X1 sDrive 20d Exclusive,2011,1375000,60000
Toyota Innova Crysta 2.4 VX MT,2016,1800000,141440
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,160000,120000
Mitsubishi Outlander 2.4,2012,525000,140000
Mahindra XUV500 W8 2WD,2012,850000,212814
Maruti Baleno Alpha 1.3,2019,800000,30000
Ford Figo Aspire 1.5 TDCi Titanium,2017,700000,88635
Maruti Swift Dzire VDI,2018,800000,25000
Hyundai i20 1.2 Spotz,2017,575000,20000
Renault Duster 110PS Diesel RxZ,2012,350000,110000
Maruti Swift Vdi BSIII,2008,250000,120000
Ford Endeavour Titanium 4X2,2011,600000,149674
Mahindra Scorpio 2.6 Turbo 9 Str,2007,370000,100000
Maruti Baleno Vxi,2006,80000,120000
Tata Indica DLX,2003,50000,120000
Hyundai Verna CRDi 1.6 EX,2018,900000,25000
Maruti Wagon R VXI BS IV,2014,300000,35000
Tata Indica LSI,2002,125000,40000
Maruti Swift Dzire VDI,2015,490000,60000
Toyota Etios Liva GD,2012,300000,50000
Tata Nano STD,2013,55000,25000
Hyundai Grand i10 Sportz,2016,350000,25000
Hyundai Grand i10 1.2 CRDi Asta,2019,755000,8000
Maruti Ertiga SHVS VDI,2017,720000,60000
Mahindra Bolero SLX,2006,229999,200000
Mahindra Scorpio S7 140 BSIV,2018,1100000,20000
Volkswagen Polo Petrol Comfortline 1.2L,2013,400000,100000
Hyundai Xcent 1.1 CRDi Base,2015,350000,70000
Chevrolet Beat Diesel PS,2012,159000,68000
Maruti Swift ZXi BSIV,2017,550000,38000
Maruti Ritz VDi,2013,335000,80000
Tata Indigo CS Emax CNG GLX,2014,185000,72000
Maruti Eeco 5 STR With AC Plus HTR CNG,2012,229999,75000
Maruti Estilo LXI,2014,225000,43000
Maruti Swift VXI with ABS,2007,250000,120000
Tata Zest Quadrajet 1.3 XM,2015,400000,100000
Maruti Swift VDI BSIV,2014,470000,163000
Maruti Alto K10 VXI AGS Optional,2018,300000,25000
Maruti Alto LX,2011,145000,25000
Maruti SX4 Vxi BSIII,2007,100000,90000
Mahindra Scorpio SLE BSIV,2014,500000,70000
Hyundai Santro Xing GLS CNG,2010,130000,98000
Chevrolet Cruze LTZ,2010,240000,81925
Ford Figo Diesel Celebration Edition,2013,150000,80000
Renault KWID RXT Optional,2017,270000,40000
Maruti Swift Dzire VDI,2014,400000,90000
Hyundai EON Era Plus,2012,200000,46000
Mahindra XUV500 W6 2WD,2012,550000,80000
Renault KWID 1.0 RXT Optional,2018,325000,35000
Skoda Rapid 1.5 TDI AT Style BSIV,2017,860000,82080
Mahindra XUV500 W8 2WD,2012,600000,200000
Chevrolet Spark 1.0,2009,125000,70000
Maruti 800 AC,2000,60000,40000
Chevrolet Tavera Neo 3 10 Seats BSIV,2010,300000,120000
Ford Fiesta 1.6 ZXi Duratec,2007,190000,60000
Maruti Ertiga VDI,2013,400000,110000
Tata Manza Aura Quadrajet BS IV,2011,260000,97000
Maruti Swift VVT VXI,2017,400000,30000
Hyundai i20 Sportz Petrol,2010,250000,40000
Hyundai Grand i10 1.2 Kappa Asta,2019,600000,10000
Maruti Zen Estilo VXI BSIV,2010,175000,52047
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,450000,200000
Tata Tiago 1.2 Revotron XZA,2019,350000,15000
Maruti Vitara Brezza ZDi,2018,800000,50000
Maruti Swift VXI BSIII,2011,250000,70000
Maruti Swift VXI BSIV,2019,600000,10000
Maruti Swift VDI BSIV,2017,600000,90000
Maruti Alto 800 LXI,2016,130000,40000
Maruti Wagon R LXI,2006,90000,62009
Hyundai i20 Active 1.2 S,2017,595000,33100
Hyundai EON Era Plus,2014,190000,40000
Hyundai Santro GLS I - Euro I,1999,50000,120000
Maruti Wagon R LXI Minor,2007,95000,80000
Tata Safari Storme VX,2016,1000000,70000
Mahindra Scorpio REV 116,2006,220000,220000
Mahindra Bolero SLX,2010,400000,50000
Datsun GO Plus A,2015,315000,45000
Toyota Fortuner 4x4 MT,2014,1000000,110000
Ford Ecosport 1.5 DV5 MT Titanium,2014,500000,49000
Mahindra XUV500 W11 AT BSIV,2018,1600000,35000
Mahindra Supro VX 8 Str,2017,500000,160000
Maruti Alto LX,2007,70000,180000
Maruti 800 AC,2007,105000,60000
Ford Endeavour 2.5L 4X2 MT,2008,400000,110000
Maruti Wagon R LXI,2004,80000,60000
Maruti Alto 800 VXI,2016,300000,30000
Mahindra KUV 100 D75 K2,2017,409999,40000
Maruti Swift Glam,2009,250000,70000
Tata New Safari DICOR 2.2 EX 4x2,2010,250000,120000
Maruti Swift Dzire VDI,2012,215000,80000
Toyota Fortuner 4x4 MT,2015,1400000,120000
Honda Brio 1.2 VX MT,2018,475000,20000
Honda Brio 1.2 VX MT,2018,475000,22000
Chevrolet Spark 1.0 LS,2008,75000,35000
Chevrolet Sail Hatchback LS ABS,2013,200000,120000
Tata Tiago NRG Petrol,2019,575000,8000
Maruti Ritz VDi,2011,150000,40000
Maruti Vitara Brezza ZDi Plus,2018,850000,10000
Hyundai Santro Era,2019,350000,30000
Ford Endeavour 2.5L 4X2 MT,2011,550000,54000
Hyundai Verna 1.4 VTVT,2017,330000,80577
Honda City i-DTEC V,2017,1044999,25000
Hyundai Verna 1.6 CRDI,2011,300000,127500
Hyundai EON D Lite Plus,2015,235000,40903
Ford Figo Petrol Titanium,2011,120000,60000
Maruti Wagon R VXI,2004,130000,46000
Ford Endeavour 4x4 XLT,2004,275000,22288
Volkswagen Jetta 2.0 TDI Trendline,2011,270000,180000
Volkswagen Polo 1.5 TDI Highline,2015,500000,30000
Hyundai Grand i10 Sportz,2015,400000,61690
Hyundai i20 Asta 1.2,2015,600000,64484
Audi Q5 2.0 TDI,2012,1350000,90000
Renault Duster 85PS Diesel RxE,2013,400000,75976
Ford Figo Diesel Titanium,2011,220000,70000
Honda Brio E MT,2012,300000,85962
Maruti Omni E MPI STD BS IV,2018,250000,120000
Honda Mobilio V i DTEC,2015,600000,120000
Honda Brio S Option AT,2012,285000,75000
Honda Accord 2.4 MT,2009,350000,57035
Mahindra Bolero SLX,2011,170000,70000
Ford Figo 1.2P Ambiente MT,2015,229999,45000
Mahindra XUV500 W6 2WD,2013,500000,72104
Tata Nano Lx,2011,75000,15000
Hyundai i20 Active 1.2 SX,2016,600000,30000
Tata Indigo LS Dicor,2011,220000,80000
Tata Indica Vista Terra 1.4 TDI,2009,150000,164000
Maruti Alto LX,2006,65000,124439
Maruti Zen VXI,2006,120000,77000
Maruti Swift Dzire VDI,2014,240000,90000
Renault KWID 1.0 RXT Optional,2017,390000,30000
Chevrolet Beat LS,2012,180000,50000
Maruti Swift VDI,2012,320000,80000
Maruti Alto 800 LXI,2018,310000,5000
Maruti Wagon R AMT VXI,2018,420000,24000
Tata Tiago NRG Petrol,2019,550000,10000
Maruti Ertiga SHVS VDI,2016,550000,78000
Mahindra TUV 300 T4 Plus,2018,760000,50000
Maruti 800 AC BSII,2001,43000,100000
Maruti Omni MPI STD BSIV,2018,250000,20000
Hyundai Santro Magna BSIV,2019,500000,1250
Tata Zest Revotron 1.2 XT,2015,380000,17152
Mahindra XUV500 W11 Option AT AWD,2019,1850000,5000
Volkswagen Polo Diesel Trendline 1.2L,2012,350000,77000
Hyundai Verna CRDi,2008,195000,90000
Chevrolet Beat LS,2011,225000,80000
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1125000,65000
Tata Indica Vista Quadrajet LX,2011,133000,80000
Hyundai EON Era Plus,2013,200000,24005
Maruti Vitara Brezza ZDi Plus,2018,940000,20000
Renault Duster 85PS Diesel RxL,2014,400000,120000
Hyundai i10 Era 1.1,2009,120000,120000
Maruti Swift Dzire ZDI,2015,625000,80000
Maruti Swift 1.3 VXi,2005,110000,80000
Renault Duster 110PS Diesel RxZ,2012,490000,100000
Maruti Alto LX,2009,140000,120000
Ford Figo Diesel ZXI,2011,175000,149000
Maruti Wagon R LXI BSIII,2005,90000,65000
Maruti Swift Ldi BSIV,2009,275000,100000
Volkswagen Vento Diesel Highline,2011,300000,65000
Datsun GO Plus T Option BSIV,2018,270000,19000
Chevrolet Beat LT,2010,130000,80000
Maruti Alto K10 VXI Airbag,2015,275000,30000
Maruti Swift VDI,2012,352000,109000
Hyundai EON LPG Magna Plus,2012,180000,90000
Maruti Alto LX,2012,150000,90000
Volkswagen Vento Diesel Highline,2011,300000,65000
Maruti Swift Vdi BSIII,2010,300000,110000
Mahindra Bolero DI DX 7 Seater,2007,225000,120000
Honda Mobilio V i DTEC,2014,600000,44000
Maruti Ertiga BSIV ZXI,2015,500000,80000
Honda BR-V i-VTEC S MT,2018,900000,5000
Hyundai i20 Magna 1.2,2016,600000,61000
Toyota Etios VD,2011,450000,100000
Hyundai i10 Era 1.1,2009,270000,27633
Maruti Swift Vdi BSIII,2010,310000,100000
Hyundai Santro Xing GLS Audio LPG,2012,250000,100000
Ford Figo 1.2P Titanium MT,2019,700000,12586
Fiat Avventura Urban Cross 1.3 Multijet Emotion,2018,650000,38083
Ford Figo Diesel ZXI,2012,400000,55328
Ford Figo Diesel Titanium,2012,425000,81632
Ford Aspire Titanium Diesel BSIV,2016,600000,155201
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,93283
Maruti Swift Ldi BSIII,2009,300000,217871
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165
Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504
Ford Figo Titanium Diesel BSIV,2010,325000,86017
Mahindra XUV500 W8 2WD,2013,900000,85036
Ford Ikon 1.3L Rocam Flair,2006,180000,91086
Fiat Punto 1.3 Emotion,2013,350000,160254
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531
Honda WR-V i-DTEC V,2019,900000,60000
Skoda Laura L n K 1.9 PD,2006,350000,100000
Maruti Ritz LDi,2013,280000,90000
Mahindra Xylo D2,2009,225000,120000
Honda City i DTEC S,2014,520000,82000
Mahindra Scorpio 1.99 S4,2016,509999,60000
Maruti Baleno Alpha 1.2,2019,556000,24000
Tata Indigo Grand Dicor,2014,225000,120000
Honda Amaze EX i-Dtech,2013,325000,65000
Maruti Swift VDI,2013,365000,65000
Hyundai Creta 1.6 CRDi SX Plus,2015,850000,84000
Toyota Etios GD SP,2013,350000,75000
Maruti Swift VDI,2007,225000,50000
Maruti Alto LX,2011,135000,50000
Maruti Wagon R LXI Minor,2007,140000,49000
Maruti SX4 S Cross DDiS 320 Delta,2016,665000,560000
Renault KWID RXT,2015,275000,14365
Toyota Fortuner 2.8 4WD AT BSIV,2017,2750000,41000
Hyundai Verna 1.6 SX,2013,484999,65000
Maruti Ciaz VDi Option SHVS,2015,565000,65000
Maruti Swift Dzire VDI,2013,425000,61083
Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,925000,75000
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,2012,565000,72000
Renault Duster 110PS Diesel RxL,2014,525000,65000
